item,cnt
revenge,3
have,106
no,17
part,11
in,169
bid,19
say,30
mulcahy,5
by,59
ben,2
laurance,2
geoff,1
the,546
soft-spoken,1
chief,6
executive,9
and,169
chairman-elect,1
of,251
kingfisher,21
insist,2
last,24
night,5
that,73
launch,4
he,19
£460,1
million,16
for,99
dixons,25
be,332
thing,4
mind,2
this,44
a,175
straight,1
commercial,2
exercise,1
we,6
believe,3
can,15
turn,4
around,2
business,19
argument,1
should,12
not,33
confused,1
talk,2
but,36
there,16
certain,1
piquancy,1
now,9
try,2
to,235
table,2
on,71
company,29
from,66
whose,4
clutch,1
it,132
escaped,1
whisker,1
only,15
three,7
year,43
ago,4
1986,1
darling,2
city,7
cash,4
spectacular,1
consumer,1
boom,1
or,23
woolworths,5
as,71
then,4
call,2
still,11
reshape,1
under,9
guidance,1
team,5
who,15
spearhead,1
buy-out,2
us,13
parent,7
four,4
early,8
which,44
become,5
favourite,1
because,6
people,10
at,48
helm,1
great,6
shopkeeping,1
flair,2
they,45
cautious,1
unflamboyant,1
management,3
style,1
create,1
retailing,3
empire,6
solid,1
reliability,1
approach,2
could,11
hardly,2
more,30
different,7
stanley,2
kalms,2
creator,1
chairman,8
kalm,1
an,25
instinctive,1
entrepreneur,1
join,3
father,1
's,83
portrait,1
photography,1
age,3
16,4
just,10
after,14
war,2
soon,3
realise,1
sell,12
camera,1
lucrative,2
than,26
take,13
picture,1
grow,2
topsy-like,1
stack,1
shelf,1
with,34
electrical,5
photographic,1
equipment,2
low-cost,1
supplier,3
far,6
east,3
curry,4
over,10
1984,1
two,9
before,10
unsuccessful,1
£1.8billion,2
suffer,5
profit,34
above,5
£100million,1
1987/88,2
likely,4
fall,15
£45million,2
next,4
april,1
surplus,1
will,46
come,12
like,3
property,10
development,5
financial,6
service,5
offshoot,1
silo,1
350,1
600,4
currys,1
outlet,4
lose,3
money,3
attempt,7
move,9
gradually,1
out,16
high,6
street,7
large,11
edge-of-town,1
out-of-town,2
store,3
tone,1
down,7
',4
garish,1
image,2
yet,2
bear,1
fruit,1
meanwhile,2
prosper,2
embrace,2
relic,1
british,18
end,6
frank,2
winfield,1
woolworth,1
creation,2
opened,1
first,9
shop,3
liverpool,1
80,1
thrive,1
nothing,1
6d,1
formula,1
until,2
second,9
world,6
lumber,1
through,3
60s,1
70s,1
into,24
"1,000",2
cut,9
back,10
700,1
each,9
six,3
department,5
add,7
comet,4
superdrug,2
b&q,2
run,4
little,3
show,8
heyday,1
perfectly,1
poise,1
withstand,1
downturn,1
page,19
europe,10
drop,2
japan,1
car,16
curb,1
alan,1
hope,11
brussels,1
quota,5
restrict,1
import,4
japanese,7
1992,1
return,2
access,2
market,29
european,8
carmaker,1
ec,2
commission,7
yesterday,25
also,19
confirm,2
would,30
repeat,1
row,1
local,2
content,1
nissan,1
build,5
britain,5
export,2
rest,6
produce,6
supposed,1
mr,13
frans,1
andriessen,1
external,1
relation,1
commissioner,1
five,3
country,4
currently,4
maintain,3
national,5
-france,1
italy,2
spain,1
portugal,1
uk,5
accord,3
progressively,1
reduce,3
possible,3
most,7
start,5
1991,1
january,2
1,1
1993,2
disappear,1
continue,5
strictly,1
monitor,2
community,2
keep,3
option,8
introduce,4
safeguard,1
measure,2
if,24
too,2
much,6
threat,4
industry,11
decision,4
policy,3
month,8
debate,1
17-member,1
propose,1
transition,1
period,2
indefinite,1
duration,1
during,3
lift,1
while,6
tightly,1
any,6
case,8
open,9
make,14
impossible,2
enforce,1
offer,8
condition,2
domestic,1
whole,5
range,1
industrial,4
sector,2
businessman,1
new,26
restriction,1
time,7
europe-wide,1
level,10
spur,1
do,13
area,3
date,1
adjust,1
delors,3
vision,1
social,7
charter,8
need,3
notebook,1
edited,1
alex,1
brummer,1
main,5
focus,3
angst,1
